instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,days_since_start,avg_bike_rental_per_day,season_label,rolling_avg,casual_avg,registered_avg
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727.0,4164,4891,164,4504.35,Spring,4695.066666666667,1031.9666666666667,3663.1
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769.0,4411,5180,165,4504.35,Spring,4732.633333333333,1008.6,3724.0333333333333
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545.0,3222,3767,166,4504.35,Spring,4783.733333333334,1020.4,3763.3333333333335
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863.0,3981,4844,167,4504.35,Spring,4830.0,1044.8333333333333,3785.1666666666665
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807.0,3312,5119,168,4504.35,Spring,4835.033333333334,1093.7666666666667,3741.266666666667
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639.0,3105,4744,169,4504.35,Spring,4812.933333333333,1139.3916666666667,3673.0333333333333
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699.0,3311,4010,170,4504.35,Spring,4836.3,1152.65,3656.5333333333333
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774.0,4061,4835,171,4504.35,Summer,4828.266666666666,1130.85,3670.3
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661.0,3846,4507,172,4504.35,Summer,4830.966666666666,1134.55,3669.3
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746.0,4044,4790,173,4504.35,Summer,4822.933333333333,1134.25,3661.5666666666666
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969.0,4022,4991,174,4504.35,Summer,4810.9,1134.7833333333333,3649.0
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782.0,3420,5202,175,4504.35,Summer,4858.266666666666,1182.2833333333333,3648.866666666667
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920.0,3385,5305,176,4504.35,Summer,4868.1,1213.2166666666667,3627.766666666667
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854.0,3854,4708,177,4504.35,Summer,4838.766666666666,1179.6833333333334,3631.9666666666667
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732.0,3916,4648,178,4504.35,Summer,4832.033333333334,1152.85,3652.0666666666666
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848.0,4377,5225,179,4504.35,Summer,4809.433333333333,1149.0166666666667,3633.3
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027.0,4488,5515,180,4504.35,Summer,4815.866666666667,1154.3833333333334,3634.366666666667
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246.0,4116,5362,181,4504.35,Summer,4827.8,1172.6833333333334,3628.0
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204.0,2915,5119,182,4504.35,Summer,4899.666666666667,1230.075,3637.4333333333334
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2266.75,2367,4649,183,4504.35,Summer,4914.933333333333,1268.175,3614.6
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,2266.75,2978,6043,184,4504.35,Summer,4892.9,1235.975,3624.766666666667
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031.0,3634,4665,185,4504.35,Summer,4886.133333333333,1206.4083333333333,3647.5666666666666
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784.0,3845,4629,186,4504.35,Summer,4896.866666666667,1204.575,3660.133333333333
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754.0,3838,4592,187,4504.35,Summer,4861.833333333333,1199.8416666666667,3629.8333333333335
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692.0,3348,4040,188,4504.35,Summer,4824.5,1196.5416666666667,3595.8
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988.0,3348,5336,189,4504.35,Summer,4774.333333333333,1204.575,3537.6
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743.0,3138,4881,190,4504.35,Summer,4728.166666666667,1207.275,3488.733333333333
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723.0,3363,4086,191,4504.35,Summer,4682.766666666666,1166.8083333333334,3483.8
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662.0,3596,4258,192,4504.35,Summer,4658.933333333333,1127.8083333333334,3498.9666666666667
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748.0,3594,4342,193,4504.35,Summer,4657.2,1124.5083333333334,3500.5333333333333
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888.0,4196,5084,194,4504.35,Summer,4648.6,1120.3083333333334,3496.133333333333
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318.0,4220,5538,195,4504.35,Summer,4602.633333333333,1114.375,3456.1
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2266.75,3505,5923,196,4504.35,Summer,4567.966666666666,1132.1083333333333,3403.7
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006.0,3296,5302,197,4504.35,Summer,4532.633333333333,1141.375,3359.1
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841.0,3617,4458,198,4504.35,Summer,4504.2,1092.2083333333333,3379.8333333333335
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752.0,3789,4541,199,4504.35,Summer,4510.733333333334,1043.35,3435.733333333333
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644.0,3688,4332,200,4504.35,Summer,4428.433333333333,983.3583333333333,3440.0333333333333
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632.0,3152,3784,201,4504.35,Summer,4425.466666666666,975.625,3444.8
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562.0,2825,3387,202,4504.35,Summer,4433.366666666667,983.5916666666667,3444.733333333333
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987.0,2298,3285,203,4504.35,Summer,4423.433333333333,1009.1583333333333,3409.233333333333
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050.0,2556,3606,204,4504.35,Summer,4414.933333333333,1029.3583333333333,3380.5333333333333
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568.0,3272,3840,205,4504.35,Summer,4381.266666666666,991.2916666666666,3384.9333333333334
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750.0,3840,4590,206,4504.35,Summer,4371.966666666666,963.425,3403.5
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755.0,3901,4656,207,4504.35,Summer,4395.1,968.7916666666666,3421.266666666667
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606.0,3784,4390,208,4504.35,Summer,4412.9,973.7916666666666,3434.0666666666666
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670.0,3176,3846,209,4504.35,Summer,4431.666666666667,983.8916666666667,3442.733333333333
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559.0,2916,4475,210,4504.35,Summer,4400.533333333334,1004.425,3391.0666666666666
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524.0,2778,4302,211,4504.35,Summer,4343.266666666666,1005.0916666666667,3333.133333333333
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729.0,3537,4266,212,4504.35,Summer,4290.433333333333,955.3666666666667,3335.0666666666666
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801.0,4044,4845,213,4504.35,Summer,4271.2,912.5333333333333,3358.6666666666665
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467.0,3107,3574,214,4504.35,Summer,4279.066666666667,906.7666666666667,3372.3
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799.0,3777,4576,215,4504.35,Summer,4254.533333333334,903.0,3351.5333333333333
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023.0,3843,4866,216,4504.35,Summer,4248.566666666667,908.1,3340.4666666666667
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521.0,2773,4294,217,4504.35,Summer,4295.466666666666,950.8333333333334,3344.633333333333
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298.0,2487,3785,218,4504.35,Summer,4311.666666666667,973.7333333333333,3337.9333333333334
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846.0,3480,4326,219,4504.35,Summer,4360.766666666666,968.6,3392.1666666666665
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907.0,3695,4602,220,4504.35,Summer,4437.066666666667,976.3,3460.766666666667
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884.0,3896,4780,221,4504.35,Summer,4480.066666666667,989.0,3491.0666666666666
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812.0,3980,4792,222,4504.35,Summer,4445.133333333333,978.5,3466.633333333333
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051.0,3854,4905,223,4504.35,Summer,4445.3,978.9333333333333,3466.366666666667
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504.0,2646,4150,224,4504.35,Summer,4336.133333333333,966.2666666666667,3369.866666666667
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338.0,2482,3820,225,4504.35,Summer,4352.4,991.1,3361.3
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775.0,3563,4338,226,4504.35,Summer,4357.7,963.4333333333333,3394.266666666667
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721.0,4004,4725,227,4504.35,Summer,4387.766666666666,938.4666666666667,3449.3
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668.0,4026,4694,228,4504.35,Summer,4414.166666666667,937.1,3477.0666666666666
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639.0,3166,3805,229,4504.35,Summer,4423.166666666667,936.5,3486.6666666666665
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797.0,3356,4153,230,4504.35,Summer,4461.6,950.1,3511.5
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914.0,3277,5191,231,4504.35,Summer,4458.533333333334,987.9666666666667,3470.5666666666666
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249.0,2624,3873,232,4504.35,Summer,4461.0,1029.425,3423.1
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833.0,3925,4758,233,4504.35,Summer,4429.566666666667,1019.925,3401.1666666666665
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281.0,4614,5895,234,4504.35,Summer,4393.733333333334,983.4583333333334,3401.8
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949.0,4181,5130,235,4504.35,Summer,4316.066666666667,959.1916666666667,3348.4
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435.0,3107,3542,236,4504.35,Summer,4224.066666666667,934.0583333333333,3281.5333333333333
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768.0,3893,4661,237,4504.35,Summer,4182.866666666667,918.4916666666667,3255.9
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226.0,889,1115,238,4504.35,Summer,4201.3,949.7583333333333,3243.0666666666666
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415.0,2919,4334,239,4504.35,Summer,4206.0,969.1583333333333,3228.366666666667
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729.0,3905,4634,240,4504.35,Summer,4224.766666666666,942.025,3274.266666666667
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775.0,4429,5204,241,4504.35,Summer,4256.2,920.7916666666666,3326.9333333333334
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688.0,4370,5058,242,4504.35,Summer,4271.1,916.525,3346.1
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783.0,4332,5115,243,4504.35,Summer,4235.566666666667,906.7583333333333,3320.3333333333335
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875.0,3852,4727,244,4504.35,Summer,4237.766666666666,909.225,3320.0666666666666
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935.0,2549,4484,245,4504.35,Summer,4261.3,935.725,3317.1
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2266.75,2419,4940,246,4504.35,Summer,4265.333333333333,954.2583333333333,3302.6
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236.0,2115,3351,247,4504.35,Summer,4243.6,913.4916666666667,3321.633333333333
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204.0,2506,2710,248,4504.35,Summer,4235.866666666667,886.4583333333334,3340.9333333333334
250,2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118.0,1878,1996,249,4504.35,Summer,4222.333333333333,876.6583333333333,3337.2
251,2011-09-08,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153.0,1689,1842,250,4504.35,Summer,4185.666666666667,852.4583333333334,3324.733333333333
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417.0,3127,3544,251,4504.35,Summer,4094.5,829.425,3256.6
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750.0,3595,5345,252,4504.35,Summer,4157.2,874.125,3274.6
254,2011-09-11,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633.0,3413,5046,253,4504.35,Summer,4168.833333333333,899.9916666666667,3260.366666666667
255,2011-09-12,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690.0,4023,4713,254,4504.35,Summer,4286.0,915.2583333333333,3362.266666666667
256,2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701.0,4062,4763,255,4504.35,Summer,4278.866666666667,883.9916666666667,3386.4
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647.0,4138,4785,256,4504.35,Summer,4254.633333333333,875.6916666666667,3370.4666666666667
258,2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428.0,3231,3659,257,4504.35,Summer,4242.466666666666,871.625,3362.366666666667
259,2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742.0,4018,4760,258,4504.35,Summer,4247.266666666666,876.3583333333333,3362.4333333333334
260,2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434.0,3077,4511,259,4504.35,Summer,4157.733333333334,866.2583333333333,3283.0
261,2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353.0,2921,4274,260,4504.35,Summer,4097.433333333333,857.625,3231.3333333333335
262,2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691.0,3848,4539,261,4504.35,Summer,4066.9666666666667,804.125,3254.366666666667
263,2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438.0,3203,3641,262,4504.35,Summer,4050.8333333333335,744.7666666666667,3306.0666666666666
264,2011-09-21,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539.0,3813,4352,263,4504.35,Summer,4100.0,722.2,3377.8
265,2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555.0,4240,4795,264,4504.35,Summer,4168.5,736.7,3431.8
266,2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258.0,2137,2395,265,4504.35,Fall,4268.133333333333,764.4,3503.733333333333
267,2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776.0,3647,5423,266,4504.35,Fall,4387.033333333334,833.8,3553.233333333333
268,2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544.0,3466,5010,267,4504.35,Fall,4452.6,895.4583333333334,3552.8
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684.0,3946,4630,268,4504.35,Fall,4445.0,887.5916666666667,3553.0666666666666
270,2011-09-27,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477.0,3643,4120,269,4504.35,Fall,4428.9,855.3916666666667,3569.1666666666665
271,2011-09-28,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480.0,3427,3907,270,4504.35,Fall,4352.333333333333,839.625,3508.366666666667
272,2011-09-29,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653.0,4186,4839,271,4504.35,Fall,4290.666666666667,825.925,3460.4
273,2011-09-30,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830.0,4372,5202,272,4504.35,Fall,4252.633333333333,821.9916666666667,3426.3
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480.0,1949,2429,273,4504.35,Fall,4304.566666666667,871.025,3429.2
275,2011-10-02,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616.0,2302,2918,274,4504.35,Fall,4313.933333333333,904.5583333333333,3405.0333333333333
276,2011-10-03,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330.0,3240,3570,275,4504.35,Fall,4315.9,880.525,3431.0333333333333
277,2011-10-04,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486.0,3970,4456,276,4504.35,Fall,4331.7,856.6583333333333,3470.7
278,2011-10-05,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559.0,4267,4826,277,4504.35,Fall,4261.2,842.0916666666667,3414.766666666667
279,2011-10-06,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639.0,4126,4765,278,4504.35,Fall,4279.666666666667,843.1916666666667,3432.133333333333
280,2011-10-07,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949.0,4036,4985,279,4504.35,Fall,4278.066666666667,847.7583333333333,3425.9666666666667
281,2011-10-08,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235.0,3174,5409,280,4504.35,Fall,4261.833333333333,879.225,3378.266666666667
282,2011-10-09,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2266.75,3114,5511,281,4504.35,Fall,4328.033333333334,924.5916666666667,3399.1
283,2011-10-10,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514.0,3603,5117,282,4504.35,Fall,4286.833333333333,888.6916666666667,3393.8
284,2011-10-11,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667.0,3896,4563,283,4504.35,Fall,4276.066666666667,860.3916666666667,3411.3333333333335
285,2011-10-12,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217.0,2199,2416,284,4504.35,Fall,4251.533333333334,851.0583333333333,3396.133333333333
286,2011-10-13,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290.0,2623,2913,285,4504.35,Fall,4202.833333333333,843.1583333333333,3355.3333333333335
287,2011-10-14,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529.0,3115,3644,286,4504.35,Fall,4197.5,842.3583333333333,3350.8
288,2011-10-15,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899.0,3318,5217,287,4504.35,Fall,4057.1,822.4916666666667,3230.266666666667
289,2011-10-16,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748.0,3293,5041,288,4504.35,Fall,3994.733333333333,824.325,3166.0666666666666
290,2011-10-17,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713.0,3857,4570,289,4504.35,Fall,4036.0666666666666,820.3916666666667,3211.3333333333335
291,2011-10-18,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637.0,4111,4748,290,4504.35,Fall,4074.4,813.525,3256.5333333333333
292,2011-10-19,4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254.0,2170,2424,291,4504.35,Fall,4094.9333333333334,814.8583333333333,3275.733333333333
293,2011-10-20,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471.0,3724,4195,292,4504.35,Fall,4078.866666666667,809.2583333333333,3265.266666666667
294,2011-10-21,4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676.0,3628,4304,293,4504.35,Fall,4052.866666666667,806.2916666666666,3242.233333333333
295,2011-10-22,4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499.0,2809,4308,294,4504.35,Fall,4024.9,823.525,3197.0333333333333
296,2011-10-23,4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619.0,2762,4381,295,4504.35,Fall,3980.366666666667,823.625,3152.4
297,2011-10-24,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699.0,3488,4187,296,4504.35,Fall,3934.5666666666666,761.5583333333333,3168.6666666666665
298,2011-10-25,4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695.0,3992,4687,297,4504.35,Fall,3891.0333333333333,698.5333333333333,3192.5
299,2011-10-26,4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404.0,3490,3894,298,4504.35,Fall,3857.4333333333334,658.2333333333333,3199.2
300,2011-10-27,4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763,240.0,2419,2659,299,4504.35,Fall,3803.1,642.3333333333334,3160.766666666667
301,2011-10-28,4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456.0,3291,3747,300,4504.35,Fall,3834.8333333333335,649.7666666666667,3185.0666666666666
302,2011-10-29,4,0,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57.0,570,627,301,4504.35,Fall,3873.3,682.6,3190.7
303,2011-10-30,4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885.0,2446,3331,302,4504.35,Fall,3875.733333333333,698.4333333333333,3177.3
304,2011-10-31,4,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,362.0,3307,3669,303,4504.35,Fall,3851.366666666667,654.9666666666667,3196.4
305,2011-11-01,4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410.0,3658,4068,304,4504.35,Fall,3823.1666666666665,611.6666666666666,3211.5
306,2011-11-02,4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370.0,3816,4186,305,4504.35,Fall,3731.4,592.7333333333333,3138.6666666666665
307,2011-11-03,4,0,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318.0,3656,3974,306,4504.35,Fall,3674.9,576.1333333333333,3098.766666666667
308,2011-11-04,4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470.0,3576,4046,307,4504.35,Fall,3707.1666666666665,575.8333333333334,3131.3333333333335
309,2011-11-05,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156.0,2770,3926,308,4504.35,Fall,3689.4333333333334,591.5666666666667,3097.866666666667
310,2011-11-06,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952.0,2697,3649,309,4504.35,Fall,3663.3,595.2666666666667,3068.0333333333333
311,2011-11-07,4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,373.0,3662,4035,310,4504.35,Fall,3611.866666666667,552.6333333333333,3059.233333333333
312,2011-11-08,4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376.0,3829,4205,311,4504.35,Fall,3519.4,500.96666666666664,3018.4333333333334
313,2011-11-09,4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305.0,3804,4109,312,4504.35,Fall,3465.366666666667,481.4,2983.9666666666667
314,2011-11-10,4,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,190.0,2743,2933,313,4504.35,Fall,3358.9666666666667,476.9,2882.0666666666666
315,2011-11-11,4,0,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440.0,2928,3368,314,4504.35,Fall,3322.233333333333,499.93333333333334,2822.3
316,2011-11-12,4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275.0,2792,4067,315,4504.35,Fall,3335.866666666667,533.5666666666667,2802.3
317,2011-11-13,4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004.0,2713,3717,316,4504.35,Fall,3313.3333333333335,545.3666666666667,2767.9666666666667
318,2011-11-14,4,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,595.0,3891,4486,317,4504.35,Fall,3421.3333333333335,551.9,2869.4333333333334
319,2011-11-15,4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449.0,3746,4195,318,4504.35,Fall,3407.4333333333334,525.6,2881.8333333333335
320,2011-11-16,4,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145.0,1672,1817,319,4504.35,Fall,3405.5666666666666,519.8,2885.766666666667
321,2011-11-17,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139.0,2914,3053,320,4504.35,Fall,3394.2,512.2,2882.0
322,2011-11-18,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245.0,3147,3392,321,4504.35,Fall,3386.0,508.8,2877.2
323,2011-11-19,4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943.0,2720,3663,322,4504.35,Fall,3374.0,521.7333333333333,2852.266666666667
324,2011-11-20,4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787.0,2733,3520,323,4504.35,Fall,3355.3,527.2,2828.1
325,2011-11-21,4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,220.0,2545,2765,324,4504.35,Fall,3351.4666666666667,496.43333333333334,2855.0333333333333
326,2011-11-22,4,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69.0,1538,1607,325,4504.35,Fall,3316.3,468.9,2847.4
